Author,Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude
@TMCPoldaMetro,17.18 Situasi arus lalu lintas di Traffic Light Kalibata Jaksel menuju arah Pasar Minggu maupun arah Pancoran terpantau ramai lancar. https://t.co/frMH3Gq4K1,5/26/2022 10:18,in,,3,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,17.11 Situasi arus lalu lintas di Ruas Tol Jakarta-Cikampek KM 33+000 terpantau ramai lancar. https://t.co/yruUgUA70O,5/26/2022 10:11,in,,5,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,16.46 Situasi arus lalu lintas di Traffic Light Bintang Mas Ancol Jakut menuju arah Marunda terpantau ramai lancar. https://t.co/wX21j164Zb,5/26/2022 9:46,in,,5,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,16.33 Situasi arus lalu lintas di Traffic Light Fatmawati Jaksel terpantau ramai lancar. https://t.co/obKyTms1Qn,5/26/2022 9:33,in,,9,3,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,16.05 Situasi arus lalu lintas di Ruas Tol Jakarta-Cikampek KM 06+000 terpantau ramai lancar. https://t.co/n1ZJPDyKNh,5/26/2022 9:06,in,,1,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,15.03 Situasi arus lalu lintas di Kawasan Thamrin City Jl. KH. Mas Mansyur Jakpus terpantau padat. https://t.co/9ieACcQpzx,5/26/2022 8:03,in,,4,3,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,14.17 Situasi arus lalu lintas di Ruas Tol Jagorawi KM 04+500 terpantau ramai lancar. https://t.co/r5urnkR8S6,5/26/2022 7:17,in,,8,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,10.03 Situasi arus lalu lintas di Tol Jakarta-Cikampek KM 23+000 terpantau ramai lancar. https://t.co/P9WcDwJnJs,5/26/2022 3:03,in,,4,2,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,08.32 Situasi arus lalu lintas di ruas Tol Dalam Kota KM 08+300 Semanggi terpantau ramai lancar. https://t.co/CmkG1XFmeo,5/26/2022 1:32,in,,14,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,07.00 Situasi arus lalu lintas di Traffic Light Cengkareng Jakbar menuju arah Jl. Daan Mogot Raya maupun arah Sebaliknya terpantau ramai lancar. https://t.co/iO2GKG5rxp,5/25/2022 0:00,in,,8,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
